Product SKU,ABO SKU,Category,Product Name,Launch Date,Store Landed,Retail Price,Total Unit Ordered,Total Unit Sold %,Quantity Refund,Refund %,Week,Month to Date,Year To Date,24-Jan,24-Oct,24-Nov,24-Dec,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug
CAOTEQ002375,CAOTEQ002375,Audio Combo Box,ElectroGroove - 3in1 Combo Audio Box - Black,30-Apr-24,16.664,49.99,1998,1578,-4,-0.002534854,6,36,409,742,114,154,159,61,80,59,57,45,32,39,36
CABTEW001219,CABTEW001219,BT Headset,Electro Air Touch Pro In Ear Bluetooth headset - White,31-Dec-24,10.2,39.99,763,504,-1,-0.001984127,2,29,499,5,0,0,0,115,140,76,47,38,26,28,29
-,CABTEW001218,BT Headset,Electro Touch Tone Pod Bluetooth Headset - White,7-Feb-25,8.4,39.99,2303,773,-2,-0.002587322,8,49,772,1,0,0,0,0,140,215,108,134,61,65,49
ELLC/SKU/001152,ELLC/SKU/001152,BT Headset,Electro - SoundPod Bluetooth headset ANC+ENC - White,1-Mar-25,7.84,29.99,4800,1965,-3,-0.001526718,73,359,1932,33,0,0,0,0,0,246,404,316,281,326,359
ELLC/SKU/001379,ELLC/SKU/001379,BT Headset,Electro Air Touch Pro In II Bluetooth headset ANC+ENC - White,15-Mar-25,9.36,39.99,3828,1092,-1,-0.000915751,64,245,1075,17,0,0,0,0,0,77,220,192,168,173,245
-,ELLCSKU001416,BT Headset,Electro Sound Core ANC & ENC with 5Mics Bluetooth Headset - Black,6-Jun-25,19.8,49.99,989,185,-1,-0.005405405,9,52,178,7,0,0,0,0,0,0,0,2,72,52,52
-,ELLC-SKU-001529,BT Headset,Electro Sonic Pod ANC & ENC with 6Mics Bluetooth Headset - Black,6-Jun-25,13.38,39.99,2259,471,-1,-0.002123142,29,123,266,205,0,0,0,0,0,0,0,0,0,143,123
CABTFU001194,CABTFU001194,BT Headset,Airbeats - Bluetooth headset - White,18-Jun-24,10.58794742,39.99,6743,3042,-13,-0.004273504,8,54,890,1360,208,311,273,151,186,175,95,97,72,60,54
CABTEQ001190,CABTEQ001190,BT Headset,Electro Vouge - Vouge Bluetooth Headset 2 in1 - White,17-Jun-24,18.21,49.99,1275,821,-8,-0.009744214,2,18,243,397,55,58,68,35,43,41,29,36,27,14,18
CABTEQ001189,CABTEQ001189,BT Headset,Electro Vouge - Vouge Bluetooth Headset 2 in1 - Black,17-Jun-24,18.21,49.99,1276,711,-7,-0.009845288,2,11,153,406,49,53,50,25,34,24,23,15,12,9,11
CABTEQ001201,CABTEQ001201,BT Headset,Electro - SoundPod Bluetooth headset - White,15-Aug-24,7.84,24.99,6090,4700,-8,-0.001702128,12,86,1593,1473,479,551,604,364,316,305,184,137,111,90,86
CABTEQ001197,CABTEQ001197,BT Headset,Electro - Air Bud Bluetooth Headset - Pink,15-Aug-24,4.26,24.99,2084,1327,-8,-0.006028636,4,14,363,547,133,148,136,73,89,76,44,35,15,17,14
CABTEQ001196,CABTEQ001196,BT Headset,Electro - Elite Pro 2 Bluetooth Headset - White,15-Aug-24,5.16,24.99,2084,1541,-5,-0.003244646,10,40,544,508,161,155,173,102,85,84,78,74,45,36,40
CABTEQ001195,CABTEQ001195,BT Headset,Electro - Elite Pro Bluetooth Headset - Black,15-Aug-24,7.56,24.99,2084,1815,-5,-0.002754821,3,21,437,825,194,187,172,90,109,70,50,42,26,29,21
CABTAM001199,CABTAM001199,BT Headset,Electro Vouge - Vouge Bluetooth Headset 2 in1 - Navy Blue,15-Oct-24,18.21,49.99,1498,587,-4,-0.00681431,9,25,350,51,32,67,87,62,55,60,40,53,24,31,25
CABTAM001200,CABTAM001200,BT Headset,Electro Vouge - Vouge Bluetooth Headset 2 in1 - BlackBrown,15-Oct-24,18.21,49.99,1500,626,0,0,9,30,322,70,42,80,112,51,53,50,41,59,26,12,30
CABTEQ001198,CABTEQ001198,BT Headset,Electro - Wear 1 Mono Bluetooth Headset - Black,15-Oct-24,8.7,24.99,1503,1087,-7,-0.006439742,10,35,559,161,76,150,141,83,88,114,65,63,54,57,35
,CAOTEW002456,BT Printer,Electro Print Mate - Bluetooth Printer - White,31-Dec-24,8.778468339,24.99,1537,335,0,0,3,14,328,0,0,0,7,91,69,53,31,27,32,11,14
,ELLC/SKU/001329,BT Printer,Electro InstaSnap Bluetooth Camera Printer - White,31-Dec-24,19.69846834,39.99,795,357,-2,-0.005602241,2,9,346,4,0,0,7,103,64,55,37,36,28,14,9
-,ELLC/SKU/001386,BT Speaker ,Electro Paw II - Dog Style Portal Bluetooth Speaker - Red,7-Mar-25,7.08,24.99,2705,853,-1,-0.001172333,24,132,829,24,0,0,0,0,0,182,129,99,149,138,132
-,ELLC/SKU/001387,BT Speaker ,Electro Paw II - Dog Style Portal Bluetooth Speaker - Black,7-Mar-25,7.08,24.99,3916,1248,-2,-0.001602564,66,238,1226,22,0,0,0,0,0,232,178,152,184,242,238
-,ELLCSKU001418,BT Speaker ,Electro Aqua Beat 40W Waterproof Bluetooth Speaker - Black,6-Jun-25,38.34,69.99,347,195,-1,-0.005128205,5,27,193,2,0,0,0,0,0,0,0,1,114,51,27
-,ELLC-SKU-001532,BT Speaker ,Electro Paw II - Dog Style Portal Bluetooth Speaker Medium - Black,6-Jun-25,10.2,29.99,300,119,0,0,5,27,117,2,0,0,0,0,0,0,0,0,57,33,27
-,ELLC-SKU-001531,BT Speaker ,Electro Paw II - Dog Style Portal Bluetooth Speaker Medium- Red,6-Jun-25,10.2,29.99,300,103,0,0,8,25,100,3,0,0,0,0,0,0,0,0,48,27,25
-,ELLC-SKU-001530,BT Speaker ,Electro Thunder Bass 100X 100W Bluetooth Speaker - Black,6-Jun-25,62.7,129.99,1941,492,-1,-0.00203252,30,145,474,18,0,0,0,0,0,0,0,1,177,151,145
,ELLCSKU001417,BT Speaker ,Electro Vibe Duo 10W Waterproof Bluetooth Speaker - Black,6-Jun-25,6.3,19.99,1893,541,-1,-0.001848429,11,87,534,7,0,0,0,0,0,0,0,0,308,139,87
,ELLC-SKU-001536,BT Speaker ,Electro Rumble 70W Bluetooth Speaker - Black,24-Jul-25,50.32,119.99,1752,170,-1,-0.005882353,35,155,170,0,0,0,0,0,0,0,0,0,0,15,155
CASKEG001412,EW-PAW-BLK,BT Speaker ,Electro Paw - 2.5 Dog Portal Bluetooth Speaker - Black,21-Nov-23,5.07,19.99,9125,8188,-9,-0.00109917,8,33,868,6247,177,275,621,336,184,93,55,74,60,33,33
CASKEG001413,EW-PAW-RED,BT Speaker ,Electro Paw - 2.5 Dog Portal Bluetooth Speaker - Red,21-Nov-23,5.07,19.99,9321,8044,-16,-0.00198906,5,36,926,5980,220,234,684,370,215,91,63,71,42,38,36
CASKEU001436,CASKEU001436,BT Speaker ,Electro Cube - Bluetoooth Speaker - Grey,18-Jun-24,5.115947418,19.99,8488,5765,-7,-0.001214224,19,73,1672,2701,347,351,694,376,230,387,195,188,138,85,73
CAWCEW000255,CAWCEW000255,BT Speaker ,Electro Splash - 5W Water Resistance Bluetooth Speaker - Black,25-Nov-24,7.92,24.99,4061,1397,-3,-0.002147459,17,64,1044,9,0,75,269,158,186,153,146,148,101,88,64
CASKEW001482,CASKEW001482,BT Speaker ,Electro 3Wave - Bluetooth Party 3x1 Speaker - Black,12-Dec-24,61.36,99.99,734,542,-1,-0.001845018,4,17,370,1,0,0,171,81,87,64,45,34,19,23,17
,CAWCEW000256,BT Speaker ,Electro Beatbox - 20W Water Resistance Bluetooth Speaker - Black,31-Dec-24,14.82646834,34.99,2460,1212,-2,-0.001650165,62,194,1186,4,0,0,22,346,200,165,97,85,65,34,194
,ELLC-SKU-001533,BT Watch,Electro Infinity Bluetooth Smart Watch - Grey,24-Jul-25,21.19,49.99,2106,282,-4,-0.014184397,53,255,282,0,0,0,0,0,0,0,0,0,0,27,255
,ELLC-SKU-001534,BT Watch,Electro HALO Bluetooth Smart Watch - Black,24-Jul-25,21.19,49.99,2107,243,-2,-0.008230453,47,221,243,0,0,0,0,0,0,0,0,0,0,22,221
-,CAWCEW000257,Car Charger,ElectroPower - 20W Single Port Car Charger - Black,7-Feb-25,1.524,19.99,1490,646,-2,-0.003095975,25,96,637,9,0,0,0,0,44,116,95,114,97,75,96
CATCEQ000599,CATCEQ000599,Car Charger,Electro - Retractable Car Charger - Black,15-Aug-24,8.92,29.99,4024,2326,-8,-0.003439381,5,47,903,673,232,258,260,140,161,157,131,133,79,55,47
-,ELLCSKU001419,Car Mount,Electro - Drive Mount Flexible Phone Holder for Cars - Black,1-Apr-25,3.936,19.99,1807,744,-3,-0.004032258,25,103,734,10,0,0,0,0,0,0,232,200,105,94,103
CACKEQ000075,CACKEQ000075,Car Mount,Electro - Drive Mount 15W Car Mount Charger - Black,15-Aug-24,7.2,24.99,3466,1200,-8,-0.006666667,27,102,658,294,88,83,77,34,86,112,60,80,102,82,102
,ELLCSKU001657,Cases,Electro Crystal Shield TPU/PC Hybrid Case Samsung Galaxy A16 - Clear,15-Aug-25,2.424,24.99,1941,184,0,0,107,184,184,0,0,0,0,0,0,0,0,0,0,0,184
,ELLCSKU001641,Cases,Electro Protection - Motorola G Stylus 2025 Screen Protector - Clear,15-Aug-25,1.32,24.99,1250,490,-1,-0.002040816,21,144,144,346,0,0,0,0,0,0,0,0,0,0,144
